,experience_id,summary
10,93145,"The participant took multiple small doses of a substance over several hours in a converted garage room equipped for relaxation and entertainment. After the first dose, they experienced heightened senses but no overt visual effects (OEVs) or complex visual effects (CEVs). By the second dose, slight OEVs were noted, similar to those from other substances like LSD-25 and 4-HO-DMT. The third oral dose increased stimulation and euphoria.

At around four hours in, after an intranasal dose, CEVs became more pronounced with vibrant colors and patterns. The participant felt a rush of euphoria and excitement, likened to combining MDMA and LSD-25. They experienced a peak where reality seemed altered, described as being suspended in space with friends nearby.

The experience included moments of discomfort, such as an ""ugly side"" that felt like being pulled into a cold burning environment. The participant managed to escape this feeling by opening their eyes. After returning to the garage, they consumed more marijuana and experienced a warm opiate-like buzz.

Later, outside in the street, visual effects continued with wiggling and stretching of surroundings. They decided to return home but felt too high to walk alone, so went back to the group. At home, residual OEVs made cartoons unsettling, but movies were enjoyable. The participant fell asleep with their cat and had vivid dreams.

The next day, they felt light and happier than usual without a headache. Physical effects included constricted veins when dehydrated, which reversed upon rehydration."
11,86665,"The individual sat on a beach near a music festival stage and smoked a substance from a pipe. About 5 seconds after laying back, they noticed a film-like substance covering their vision, resembling parameciums. A warm numbness spread down their face and throat as their heart rate increased.

They became aware of fractal patterns spinning downward from the sky, with thin lines containing small moving elements. The space between these lines darkened and pulsed with a sickly purple color, representing fear. They heard an audible message: ""You have taken a powerful psychedelic,"" which was simultaneously seen on a bright white banner.

The participant then encountered spherical green heads emerging from the fractal surface, resembling dancing figures from a children's show. These green men communicated joyfully and welcomed the individual to their realm. Occasionally, angry purple heads would emerge, expressing distressing messages, but were quickly removed by the green men.

An insight was presented through multiple mediums: the images before them represented the continuous movement of creation towards higher consciousness. The green men demonstrated this concept by transforming into various objects and back again. They showed snapshots from the individual's life, emphasizing that these events are merely reflections of a formless reality based on vibration.

The concepts of separation and duality were depicted as billboards and discarded. The insight was celebrated with joyous exclamations from the green men. They then donned graduation attire and presented a certificate to the individual before returning to work.

As the experience concluded, the spiral tunnel began to slow and thin out, allowing the clouds and sky to reappear faintly behind the vision. The participant returned to their body after approximately 15 minutes, feeling euphoric and connected to the beauty of reality."
12,83719,"The participant smoked a small dose of DMT alone in their apartment. They experienced a strong buzzing sensation around the nose and sinuses upon inhalation. As they came up, they felt intense pleasure from diamond-shaped crystals forming and dissolving on their mucous membranes. The sounds were distorted as if electronically stretched.

At peak, the participant saw their childhood home at night with red, green, and gold colors. They also observed a turtle tank in front of them, where Hiram (the turtle) dove from the surface to eye level directly in front of them multiple times. The participant felt a strong sense of homecoming and gratitude towards Hiram.

The visuals included fractal-like patterns on surfaces and calculus equations swimming on all objects. They experienced a feeling of existing in two worlds simultaneously, with one being their childhood home and another being their current apartment. The experience was accompanied by an internal music that sounded like Howard Shore's ""Shire Theme"" from Lord of the Rings but infinitely more complex.

The participant came down gradually, noticing tunnel vision effects and calculus equations on surfaces. They felt a sense of relief upon returning to baseline and found everything in their apartment seemed amazing and new again."
13,31979,"During an intense experience, the participant encountered numerous oscillating entities that appeared to act independently of their thoughts. These entities were perceived as complex and infinite in nature. Each finger was connected to a spirit, allowing the participant to control thousands of fingers simultaneously, creating a sensation of conducting an orchestra with millions of participants.

The environment seemed to merge sound and sight, enhancing the sensory experience. The participant eventually found themselves in absolute nothingness, encountering one final entity that oscillated rapidly, leading to a conversation about identity at an accelerated pace. This culminated in the perception of becoming the color blue, symbolizing a frequency.

The spirit then presented a gift and asked what was their favorite hue before rushing away while laughing. Upon opening their eyes, the participant found themselves looking directly at a clear blue sky outside the window. The experience left them with a sense of awe but also caution about repeating it due to its intensity."
14,1841,"The individual began their experience by smoking a pipe filled with an unknown substance. Initially, they felt a sense of dropping away and experienced visual architectonic dream waters and auditory sensations. Around them, they sensed the presence of beings similar to Celtic Faeries but did not see these creatures clearly. The participant then entered a state where intricate crystalline worlds were exfoliating from every nook and cranny in their spacetime.

After about a minute, the individual felt a shockwave across the dome of the sky, which gave them memory of the real world. They began an ""extrication"" process to return to reality by opening their eyes. Upon returning, they observed that the woman handling the pipe looked like a fractal Medusa with buzzing energy.

The participant then attempted to visualize in every direction at once and succeeded in imagining themselves within a superspace filled with stars and dragonfly constellations. They encountered entities described as elves or aliens who communicated through self-dribbling jeweled basketballs and other surreal objects. These beings engaged the individual in games of catch, synthesizing and re-synthesizing categories of mind into hyperdimensional objects.

As alarms went off, the space began to quiver with high-energy dynamics as the entities tried to get the participant out of hyperspace. The experience concluded with a series of farewells and goodbyes, described as jeweled great glass revolving elevators all the way down. Upon opening their eyes, the individual experienced slight tracers on light before returning fully to reality."
15,1839,"The individual experienced a highly vivid and colorful visual environment after entering what they perceived as another realm. They saw two figures, described as simple balloon-like computer-generated images, who greeted them warmly and spoke to them about their significance in this new world. The figures referred to the participant as ""the big winner"" and ""The One,"" indicating that they had been chosen for a special purpose.

As the experience progressed, the individual was shown various life experiences through a flood of images and emotions, which were presented as clues leading up to this moment. They felt a sense of relief, excitement, and fear as these revelations unfolded. The figures led them deeper into their world, where they encountered an hourglass-like object that symbolized a transformation process.

The participant perceived themselves as becoming more perceptive and godlike but also realized that this new state might come at the cost of their physical life. They felt chosen to bear this burden and experienced a moment of panic when they believed they were transitioning into this new existence permanently.

Returning to reality, the individual continued to experience vivid hallucinations, seeing surfaces as if covered in moving film and perceiving symbolic patterns. Friends sitting next to them appeared as layers of light, reinforcing their belief that these hallucinations were real. The participant expressed fear and a sense of being chosen for an exalted state but also felt overwhelmed by the potential consequences.

As the experience began to fade, the individual's friends helped bring them back to reality by reassuring them that the effects would wear off soon. They eventually regained control over their body and mind, drifting out of the hallucinatory realm with assistance from their companions."
16,117473,"The participant had three DMT experiences on the same day. The first two were less intense with brief visual landscapes and entities. In the third experience, after taking 22 mg, they entered a dark tunnel-like space before emerging into a layered, brown landscape filled with mechanical entities. These entities were described as boxlike, brightly colored, and radiating light. They communicated intensely but in an overwhelming manner, making it difficult for the participant to ask for help or engage meaningfully.

The experience then shifted to a more playful environment resembling a pastel-colored preschool with small entities, vehicles, and habitations. The participant felt moments of humor and acceptance during this phase. Upon returning to reality, they experienced difficulty in controlling their body movements and typing but gradually recovered. The next day, the participant felt calm yet oddly close to death, possibly due to biting their cheek during the experience."
17,115502,"The participant began their experience in a quiet bedroom at night, feeling excited yet slightly apprehensive about the outcome. They smoked a small amount of powder using the ""sandwich method"" and immediately felt intense visual effects characterized by bright fractals similar to Hindu designs. A light body load followed, leading them into an altered state.

In this new reality, they encountered a neutral entity described as a gatekeeper, which inspected them calmly without speaking. The participant then transitioned again, losing all sense of individuality and experiencing what felt like ego death. They existed in a peaceful, timeless state devoid of human thoughts or emotions, feeling content as an energetic part of a harmonious plane.

As the effects began to wear off, the participant returned to their human consciousness with a profound sense of loss and disappointment at leaving behind the blissful state. The transition back felt unnatural and jarring compared to the seamless shift into the altered reality."
18,99247,"The individual experienced an intense journey characterized by a sense of unity with the universe and all living beings. They felt their consciousness expanding beyond their physical body, connecting with friends in the room and others across time and space. The visuals included spiraling DNA helixes, vast cosmic landscapes, and shifting color palettes that reflected emotional states.

The participant interacted with an entity described as a multi-faced consciousness, which appeared in various forms such as trees and celestial beings. This entity communicated through facial expressions and actions, sometimes appearing condescending or pitiful, and at other times serious and solemn. The individual also perceived this entity as the creator of the universe, guiding them through blockages and challenges.

Throughout the experience, there were moments of overwhelming ecstasy and euphoria, interspersed with periods of anxiety and concern about not fully understanding certain aspects of the journey. The participant felt a need to return to their physical body but struggled with the transition, eventually being ""smushed"" back into it by the guiding consciousness.

The trip included vivid flashbacks of past adventures and interactions with friends, as well as glimpses of what seemed like past lives or other people's experiences. Despite the intensity and complexity of the experience, the individual maintained a coherent awareness throughout."
19,108109,"The experience began with the participant laying on their couch, initially perceiving fractal visuals but still within what they considered reality. Suddenly, their body disintegrated into particles, and the room's walls expanded away. They briefly saw a vast purple dome-like structure covered in fractals before being ripped away upon attempting to speak. Following this, they encountered incomprehensible visuals including vertical white planes with black dots that closed in on them. Throughout these experiences, there was an overwhelming sound that continually grew louder.

The participant felt intense terror and believed they had died. They perceived a consciousness or entity in the environment, which seemed to enjoy their fear but did not appear malevolent. The non-participant struggled to grasp the concept of self, eventually uttering ""I"" repeatedly until recalling their name: ""A****** J*****"". This process took an extended period, though it felt like moments and eternity simultaneously.

The experience concluded with familiar objects in the apartment resolving themselves one by one, including a calendar on the wall. The participant regained awareness of their body and surroundings but remained confused for some time afterward."
20,112845,"The participant begins by inhaling vapor from a pipe, which triggers vivid visual patterns in their room. As they take more hits, the visuals become more complex and overwhelming. They feel disoriented and experience intense sensory overload, including tasting metallic pellets and seeing a jester-like face that appears and disappears.

In this altered state, the participant encounters four entities described as having an amorphous shape with auras around them. Two of these beings show less interest in the participant and move away to consume some substance through paraphernalia. The remaining two, identified as a male and female couple, engage more deeply with the participant.

The interaction between the participant and the couple is characterized by profound empathy and an unguarded sharing of their innermost selves. They communicate without words or hesitation, experiencing each other's essence fully. This leads to a state of blissful connection that contrasts sharply with the earlier anxiety and disorientation.

As the experience winds down, the participant feels a gentle return to reality but remains in awe of what they've experienced. Upon opening their eyes, they express gratitude and make a promise to cherish the memory of these encounters."
21,112640,"A participant underwent two study days at Imperial College London's Hammersmith Hospital as part of a neuroscience research project involving brain imaging. On each day, they were fitted with an EEG skullcap and placed in an MRI scanner for four sessions: two with the substance and two with placebo. The participant was injected intravenously with the substance or saline solution.

During the first dosing session, the participant experienced a rapid onset of visual effects characterized by geometric patterns of extraordinary beauty and order, including metallic colors like coppery bronze, navy blue, and neon pink. They also felt a warm energy in their hands. The experience was intense but brief, lasting only about three minutes. Upon returning to baseline, they reported feelings of serenity and gratitude.

In the second dosing session, with a higher dose, the participant encountered more expansive and fast-moving geometric patterns. This experience was described as both ordered and chaotic, imposing in tone compared to the first one. The MRI scanner's noise interacted with the visual aspect of the experience, making it difficult to distinguish between what they were hearing and seeing.

The participant remained still throughout both experiences, despite the confined space and loud noises from the MRI machine. They expressed a positive attitude towards the setting and felt that the scientific context did not detract from their experience."
22,111847,"The narrator, after inhaling DMT vaporized in a cannabis pipe, immediately found themselves in a different dimension characterized by an amorphous sphere emitting complex patterns and colors beyond visible light. Within this sphere were beings that reached out to the narrator, inviting them to follow. These beings wore masks and engaged in playful, sometimes silly behavior, such as one wearing a cat-like mask making exaggerated faces.

The narrator followed these beings into another realm described as an infinite hallway with shifting reds and blues covered in intricate geometry. This new place felt incredibly familiar, evoking memories of the inside of a womb or a spiritual concept like the Supersoul. The experience was serene and awe-inspiring, causing tears to stream down the narrator's face.

After about eight minutes, the DMT effects began to fade, leaving the narrator staring at their closed eyelids before opening them to see altered perceptions of clouds. Upon returning to reality, the narrator felt a sense of dullness compared to the profound experience just undergone and was moved to reflect on past traumas, particularly the death of a friend named Jack."
23,96140,"The participant had previous experience with various hallucinogens but was初次尝试DMT。他们在第一次尝试时使用了非常少量的剂量，大约5-10毫克，并在站立状态下吸入。他们感觉到轻微的头部变化和视觉振动，但没有完全突破阈值。接下来的一天，他们尝试了30毫克的剂量，在床上躺着吸食。这次体验中，他们经历了强烈的色彩漩涡和一个静止不动的形象——象头人身神Ganesh。尽管如此，他们仍然保持自我意识，并在20分钟后逐渐恢复。

为了更好地突破阈值，参与者研究了一种新的吸入方法：将DMT包裹在锡箔纸里，在烟斗中吸食自由基形式的DMT。这次尝试使用了40毫克的剂量。当他们开始吸食时，感觉到强烈的振动和视觉变化。突然间，他们感到快速下坠，并通过一个充满红色光线的隧道进入宇宙空间。在那里，他们听到了许多声音在重复说“欢迎你”。时间仿佛停滞，他们感觉自己与万物合一。重新获得意识后，参与者感到前所未有的喜悦。"
24,103249,"The experience began with a familiar crackling sound followed by intense visuals of a mandala wall. After piercing through this wall, the participant felt like they were parachuting downward into a peaceful state. During this time, there was an awareness of having a body and smelling something pungent and organic.

The wife entered the room and started playing Tabla, which took over as the primary focus. An entity then inhabited the participant's body to play along with the music by using their mouth to produce sounds that they could not have made on their own. This lasted for about 8-10 minutes before the entity left without a noticeable transition."
25,108821,"The participant inhaled a very small amount of a psychoactive substance through a vaporizer. Initially, they felt no noticeable effects but after a few minutes, experienced a sudden onset of profound sensations. They perceived intricate patterns and structures that resembled crystalline, organic forms with flowing energy and numerical digits in various colors.

Opening their eyes, the room appeared alien and slightly unsettling. The participant maintained a sense of lucidity throughout, narrating the experience to themselves. They felt a deep connection to the universe, understanding it as both familiar and vast. This led to reflections on the nature of time, space, and existence, including thoughts about how all energy might reunite.

The trip lasted approximately eight minutes, but the participant perceived it as much longer due to its intensity. Afterward, they felt buzzed and struggled to describe what they had seen, considering ""colors"" an inadequate term for the vivid imagery experienced."
26,91964,"The individual reported experiencing intense physical sensations including vibrations throughout the body and a heavy feeling that made movement difficult. The environment around them seemed to shimmer and melt away. Visual effects included swirling colors and rapidly changing fractal patterns. An entity appeared as a transparent sphere with an orange, pulsating life force inside. This sphere was being manipulated by a naked figure without clear gender characteristics, who appeared to be actively engaging with the sphere for the participant's benefit.

After the experience, the individual felt compelled to organize their surroundings and make sense of the chaotic data they had perceived during the trip."
27,90113,"The individual began their experience in a room with a friend, smoking from a bong filled with weed stems. Initially, they experienced geometric patterns of red and green colors swirling before their eyes as their awareness remained in the room but their eyes rolled back involuntarily. The participant felt a wrenching battle within themselves, which was alleviated by their friend's encouragement to let go.

After some time, the individual took another hit from the bong, leading to an intense experience characterized by rapidly building energy and a strong heartbeat. This energy reached the throat, causing involuntary deep breaths and tears of relief rather than sadness. The participant cried over past emotional pain, specifically mentioning a former lover who had broken their heart.

The friend expressed concern during this period, prompting further discussion about relationships and personal opinions. Upon coming down from the experience, the individual felt loved and at peace but also noticed fear beginning to resurface as the effects faded."
28,107582,"The participant and his friends prepared for their drug experience by setting up in the participant's home with a bong and changa. They took turns smoking changa through the bong, each hit causing varying degrees of visual and auditory hallucinations. The first hit caused tingling sensations and cold sweats, while the second hit intensified the visuals and sounds. During the third hit, the participant experienced intense visual patterns that formed a multi-dimensional room with fractal designs. He felt as if he was inside this room, where concepts like up or down did not apply. An alien entity appeared to him, describing the room's material as plastic-like but alive. The participant then returned to reality when the music changed, experiencing strong deja vu and intense visuals that left trails. Afterward, they listened to various albums and shared drinks and cigarettes."
29,97591,"The participant consumed a dose of an unknown substance and experienced vivid visuals immediately after inhalation. They saw colorful geometry that resolved into a pathway leading to a Mayan-themed pyramid. Upon reaching the top, they encountered an N-dimensional unicursal hexagram being which appeared annoyed by their questions about existence. The participant felt embarrassed and was pushed back down the steps, experiencing a sharp pain in the brain.

Next, they found themselves in a 'cosmic emergency room' where elfin nurses tended to them. These nurses communicated telepathically, expressing empathy towards the patients and criticizing the participant's arrogance. After treatment, a 'cosmic taxi mechanism' arrived to take the participant home. The nurses bid farewell in large numbers.

The effects were still strong 15 minutes later but had become more like an altered state of consciousness rather than intense visuals. The participant regained full awareness around 20 minutes post-consumption and was able to communicate with friends about their experience."
30,90557,"The individual began in a dark, unfamiliar state, feeling disconnected from their surroundings and identity. They were shown a room and recognized a friend sitting next to them. The experience was accompanied by visual distortions of green hexadecimal shapes. As they focused on music playing (""Justice Phantom II"" remix), they felt pulled towards an otherworldly dimension.

In this new space, the individual interacted with entities that appeared as matrix-like beings shaped by the same green hexagonal patterns. These entities communicated through a song-like voice and helped guide the person to understand complex concepts about reality, consciousness, and existence. The entities showed the participant glimpses of answers to questions before they were fully formed, emphasizing that these insights were already known but forgotten.

The experience included a visit to what was described as an ether or void, where the individual encountered beings who explained the nature of reality, time, space, and emotions. These explanations suggested that emotions exist in a different dimension from pure consciousness and that the participant's current reality is a projection created by their own mind.

After exploring these concepts, the entities gently guided the person back to their original reality, emphasizing that some knowledge could not be fully retained or described once returned. The individual experienced physical discomfort as they reconnected with their body in the room, but was eventually able to integrate back into normal consciousness after about an hour of the experience."
31,101998,"The participant had several intense psychedelic experiences over a period of time. Initially, they reported weak visual effects and some entity content but no direct interaction. As they continued to use the substance, their experiences became more vivid and included strong visual distortions such as breathing walls and layered visions filled with colorful static.

In one experience, the participant felt like their consciousness was at the center of a nebula-like structure with white light. They perceived a mesh of concepts and hallucinations that were dynamic and constantly changing but only partially visible. These hallucinations seemed separate from the participant's own consciousness and drew heavily from their subconscious memories. The psychological aspect included feelings of impending death, which were new for them.

As the experience progressed, the participant became aware of their body again and felt a strong urge to check their vitals. They experienced disorientation and spatial distortion but eventually turned on the light and saw multiple transparent copies of their bedroom breathing as one. This led to a sense of relief and happiness about being alive.

In another session, the participant had hypnagogic visions that were erotic in nature and included warping scenery such as buildings rising from the ground and transforming into alien spaceships. These visions felt like they existed in the environment rather than within the participant's mind.

The final experience involved intense synesthesia where breathing caused reality to warp into well-defined humanoid shapes, which were intrinsically linked to the participant's body. This was a new type of hallucination for them and differed from previous experiences with entity content.

Throughout these sessions, the participant reflected on their fears about pushing further into psychedelic use and how these trips helped alleviate those concerns."
32,83098,"The individual began the experience in a relaxed state after recovering from previous substance use. They snorted a large dose of a white powder and initially saw mild visual effects before encountering numerous beings that appeared to study them. These encounters were brief and overwhelming but not frightening.

Next, they experienced what felt like the creation of mankind, being trapped in a pink jelly-like material inside an alien environment. This was followed by interaction with an advanced extraterrestrial being who helped guide their awareness towards beneficial experiences and assisted in overcoming personal weaknesses. The being also shared insights about other beings existing among them without conflict.

The experience then shifted to what felt like the return of Jesus Christ, causing intense emotions as they feared judgment and eternal damnation. After this, the individual moved harmoniously with the music, engaging in repetitive motions that felt natural and therapeutic.

A demon-like entity attempted to possess the person, offering rewards for surrender but being resisted through an internal battle. The participant then experienced fear of death, feeling unworthy and rejected, which they combated by breathing deeply and moving their body to promote healing. They eventually regained a sense of calm as they awaited the end of the experience.

Upon standing up, the individual felt refreshed with large pupils and an optimistic outlook on life. The entire trip lasted about an hour according to observers, who noted its intensity compared to other DMT experiences."
